split,seed,coverage,source_hidden,inferred_cycle_s,true_cycle_s,abs_error_s,abs_error_pct
test,5022,0.75,True,77.60447150550365,78.949276101106,1.3448045956023407,1.7033779940934777
test,5027,1.0,False,70.83820929323896,71.46303355407278,0.6248242608338188,0.8743321263587882
test,5027,0.75,True,70.83820929323896,71.46303355407278,0.6248242608338188,0.8743321263587882
test,5027,0.5,True,70.83820929323896,71.46303355407278,0.6248242608338188,0.8743321263587882
test,5027,0.25,True,66.78793383098382,71.46303355407278,4.675099723088962,6.5419833032298165
test,5030,1.0,False,74.57360459024154,79.09214785005615,4.5185432598146065,5.7130111934511065
test,5031,1.0,False,81.95564126412332,84.68934539223456,2.733704128111242,3.2279197760358462
test,5031,0.75,False,80.4710607836234,83.11196636647506,2.6409055828516586,3.1775274949058634
test,5031,0.5,False,81.95564126412332,84.68934539223456,2.733704128111242,3.2279197760358462
test,5032,1.0,False,70.4633555781397,74.36670596102735,3.903350382887652,5.248787521842427
test,5032,0.75,True,69.24782873412526,74.63523348544831,5.3874047513230465,7.218312986685349
test,5033,1.0,False,78.68468700134447,80.82007085502244,2.135383853677965,2.642145485752522
test,5033,0.75,False,77.919635606805,78.87610524619139,0.9564696393863841,1.2126228043347362
test,5033,0.5,True,70.26039503588109,77.64876307316533,7.388368037284238,9.515113628175214
test,5033,0.25,True,77.72656565017581,79.3002769236583,1.5737112734824876,1.9844965673921744
test,5035,1.0,False,72.75269204602955,74.90746633473827,2.1547742887087225,2.876581459957147
test,5035,0.75,True,69.42570537466624,74.94911081033204,5.523405435665808,7.369540980470689
test,5035,0.5,True,69.42570537466624,74.94911081033204,5.523405435665808,7.369540980470689
test,5036,1.0,False,71.75552234311424,75.05850789517032,3.302985552056086,4.400547845514283
test,5036,0.75,False,71.70474698616648,75.05850789517032,3.3537609090038387,4.46819554911461
test,5036,0.5,False,71.70474698616648,75.05850789517032,3.3537609090038387,4.46819554911461
test,5039,1.0,False,95.00279924330243,97.97649989989411,2.9737006565916744,3.035116236679208
test,5039,0.75,False,95.00279924330243,97.97649989989411,2.9737006565916744,3.035116236679208
test,5039,0.5,True,90.21556524811749,94.07866646540835,3.863101217290861,4.106245722255512
test,5039,0.25,True,89.71463541122817,93.25046536819289,3.5358299569647187,3.7917558298542997
test,5041,1.0,False,74.97103939811059,77.14518586721583,2.1741464691052386,2.8182529404329033
test,5041,0.75,True,76.08796276184488,77.10235972774088,1.0143969658959975,1.315649701874202
test,5041,0.5,True,74.97103939811059,77.14518586721583,2.1741464691052386,2.8182529404329033
test,5042,1.0,False,70.35587550990554,72.70199575251112,2.346120242605579,3.227036917380008
