split,seed,coverage,method,fault_kind,source_hidden,magnitude,threshold,target_fpr,n_windows_during,detection_rate,detected_episode,top1,within1,median_station_error,lead_time_min,top1_episode,within1_episode,false_alarm_rate,first_alert_t_s,first_correct_alert_t_s
test,5000,0.5,B1_IsolationForest,SLOWDOWN,True,1.1949660821520764,0.7423023198141773,0.1,70,0.07142857142857142,1.0,0.0,0.0,7.0,,0.0,0.0,0.14285714285714285,30726.843548033088,
test,5000,0.25,RippleTwin,SLOWDOWN,True,1.1949660821520764,23.87887940963418,0.005,70,0.02857142857142857,1.0,0.0,0.0,17.0,,0.0,0.0,0.0,33765.52849543898,
test,5000,0.25,RippleTwin,SLOWDOWN,True,1.1949660821520764,23.87887940963418,0.01,70,0.04285714285714286,1.0,0.0,0.0,17.0,,0.0,0.0,0.0,33765.52849543898,
test,5000,0.25,RippleTwin,SLOWDOWN,True,1.1949660821520764,23.87887940963418,0.02,70,0.1,1.0,0.0,0.0,17.0,,0.0,0.0,0.023809523809523808,32519.777761688987,
test,5000,0.25,RippleTwin,SLOWDOWN,True,1.1949660821520764,23.87887940963418,0.05,70,0.12857142857142856,1.0,0.0,0.0,17.0,,0.0,0.0,0.05555555555555555,32219.106459204384,
test,5000,0.25,RippleTwin,SLOWDOWN,True,1.1949660821520764,23.87887940963418,0.1,70,0.17142857142857143,1.0,0.0,0.0,17.0,,0.0,0.0,0.0873015873015873,31009.370273417157,
test,5000,0.25,B2_observed_only_twin,SLOWDOWN,True,1.1949660821520764,23.87066583332845,0.005,70,0.014285714285714285,1.0,0.0,0.0,16.0,,0.0,0.0,0.0,34055.03058836182,
test,5000,0.25,B2_observed_only_twin,SLOWDOWN,True,1.1949660821520764,23.87066583332845,0.01,70,0.02857142857142857,1.0,0.0,0.0,16.0,,0.0,0.0,0.0,33765.52849543898,
test,5000,0.25,B2_observed_only_twin,SLOWDOWN,True,1.1949660821520764,23.87066583332845,0.02,70,0.1,1.0,0.0,0.0,16.0,,0.0,0.0,0.007936507936507936,32519.777761688987,
test,5000,0.25,B2_observed_only_twin,SLOWDOWN,True,1.1949660821520764,23.87066583332845,0.05,70,0.12857142857142856,1.0,0.0,0.0,16.0,,0.0,0.0,0.047619047619047616,32219.106459204384,
test,5000,0.25,B2_observed_only_twin,SLOWDOWN,True,1.1949660821520764,23.87066583332845,0.1,70,0.17142857142857143,1.0,0.0,0.0,16.0,,0.0,0.0,0.0873015873015873,31009.370273417157,
test,5000,0.25,B0_SPC_observed,SLOWDOWN,True,1.1949660821520764,4.674774997918179,0.005,70,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5000,0.25,B0_SPC_observed,SLOWDOWN,True,1.1949660821520764,4.674774997918179,0.01,70,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5000,0.25,B0_SPC_observed,SLOWDOWN,True,1.1949660821520764,4.674774997918179,0.02,70,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5000,0.25,B0_SPC_observed,SLOWDOWN,True,1.1949660821520764,4.674774997918179,0.05,70,0.0,0.0,,,,,0.0,0.0,0.023809523809523808,,
test,5000,0.25,B0_SPC_observed,SLOWDOWN,True,1.1949660821520764,4.674774997918179,0.1,70,0.014285714285714285,1.0,0.0,0.0,6.0,,0.0,0.0,0.031746031746031744,28013.565619430436,
test,5000,0.25,B1_IsolationForest,SLOWDOWN,True,1.1949660821520764,0.7158774793615637,0.005,70,0.02857142857142857,1.0,0.0,0.0,11.5,,0.0,0.0,0.0,33765.52849543898,
test,5000,0.25,B1_IsolationForest,SLOWDOWN,True,1.1949660821520764,0.7158774793615637,0.01,70,0.02857142857142857,1.0,0.0,0.0,11.5,,0.0,0.0,0.0,33765.52849543898,
test,5000,0.25,B1_IsolationForest,SLOWDOWN,True,1.1949660821520764,0.7158774793615637,0.02,70,0.05714285714285714,1.0,0.0,0.0,7.0,,0.0,0.0,0.0,33765.52849543898,
test,5000,0.25,B1_IsolationForest,SLOWDOWN,True,1.1949660821520764,0.7158774793615637,0.05,70,0.08571428571428572,1.0,0.0,0.0,8.5,,0.0,0.0,0.0,33121.6191919645,
