split,seed,coverage,method,fault_kind,source_hidden,magnitude,threshold,true_station,n_quiet_windows,false_alarm_rate
tune,1003,0.5,B1_IsolationForest,COMBINED,True,1.3731549871195838,0.7423023198141773,7.0,151,0.019867549668874173
tune,1003,0.25,RippleTwin,COMBINED,True,1.3731549871195838,23.87887940963418,7.0,151,0.0
tune,1003,0.25,B2_observed_only_twin,COMBINED,True,1.3731549871195838,23.87066583332845,7.0,151,0.0
tune,1003,0.25,B0_SPC_observed,COMBINED,True,1.3731549871195838,4.674774997918179,7.0,151,0.006622516556291391
tune,1003,0.25,B3_TurningPoint,COMBINED,True,1.3731549871195838,0.39660743155955724,7.0,151,0.0
tune,1003,0.25,B1_IsolationForest,COMBINED,True,1.3731549871195838,0.7158774793615637,7.0,151,0.0
tune,1004,1.0,RippleTwin,QUALITY_DRIFT,False,12.206738048579876,42.5638498837417,1.0,149,0.0
tune,1004,1.0,B2_observed_only_twin,QUALITY_DRIFT,False,12.206738048579876,42.5638498837417,1.0,149,0.0
tune,1004,1.0,B0_SPC_observed,QUALITY_DRIFT,False,12.206738048579876,5.124273832797681,1.0,149,0.013422818791946308
tune,1004,1.0,B3_TurningPoint,QUALITY_DRIFT,False,12.206738048579876,0.4108436123761012,1.0,149,0.0
tune,1004,1.0,B1_IsolationForest,QUALITY_DRIFT,False,12.206738048579876,0.7784702529546166,1.0,149,0.026845637583892617
tune,1004,0.75,RippleTwin,QUALITY_DRIFT,True,12.206738048579876,31.30364205825687,1.0,149,0.0
tune,1004,0.75,B2_observed_only_twin,QUALITY_DRIFT,True,12.206738048579876,31.30364205825687,1.0,149,0.0
tune,1004,0.75,B0_SPC_observed,QUALITY_DRIFT,True,12.206738048579876,5.061702559429017,1.0,149,0.013422818791946308
tune,1004,0.75,B3_TurningPoint,QUALITY_DRIFT,True,12.206738048579876,0.41240313011539886,1.0,149,0.0
tune,1004,0.75,B1_IsolationForest,QUALITY_DRIFT,True,12.206738048579876,0.7423023198141773,1.0,149,0.053691275167785234
