coverage,method,target_fpr,seed,source_hidden,magnitude,threshold,true_station,n_windows_during,detection_rate,detected_episode,top1,within1,median_station_error,lead_time_min,top1_episode,within1_episode,false_alarm_rate,first_alert_t_s,first_correct_alert_t_s,n_episodes
0.5,B0_SPC_observed,0.005,5053.038461538462,0.7692307692307693,4.59912947231232,5.012127239822025,19.82051282051282,56.93589743589744,0.11121401239936833,0.34615384615384615,0.4770370370370371,0.4770370370370371,8.5,173.42150804494156,0.16666666666666666,0.16666666666666666,0.013827330001022363,34791.03425367346,26218.155581424922,78
0.5,B0_SPC_observed,0.01,5053.038461538462,0.7692307692307693,4.59912947231232,5.012127239822025,19.82051282051282,56.93589743589744,0.11583405089085978,0.3974358974358974,0.4134432929499343,0.4134432929499343,9.193548387096774,173.42150804494156,0.16666666666666666,0.16666666666666666,0.01515018334707772,35507.19907854653,26218.155581424922,78
0.5,B0_SPC_observed,0.02,5053.038461538462,0.7692307692307693,4.59912947231232,5.012127239822025,19.82051282051282,56.93589743589744,0.1211926062731364,0.47435897435897434,0.34434742401478663,0.34434742401478663,8.405405405405405,173.42150804494156,0.16666666666666666,0.16666666666666666,0.020207158858553405,35882.50486684211,26218.155581424922,78
0.5,B0_SPC_observed,0.05,5053.038461538462,0.7692307692307693,4.59912947231232,5.012127239822025,19.82051282051282,56.93589743589744,0.13225131329391016,0.5897435897435898,0.27043298366943214,0.27043298366943214,10.054347826086957,173.42150804494156,0.16666666666666666,0.16666666666666666,0.03230079230705369,34761.88323135377,26218.155581424922,78
0.5,B0_SPC_observed,0.1,5053.038461538462,0.7692307692307693,4.59912947231232,5.012127239822025,19.82051282051282,56.93589743589744,0.14598838229497618,0.6666666666666666,0.23608922612135588,0.23608922612135588,10.663461538461538,173.42150804494156,0.16666666666666666,0.16666666666666666,0.05185426750415365,34413.539080125,26218.155581424922,78
0.5,B1_IsolationForest,0.005,5053.038461538462,0.7692307692307693,4.59912947231232,0.7423023198141773,19.82051282051282,56.93589743589744,0.10341538464767325,0.3333333333333333,0.0,0.11538461538461539,8.846153846153847,270.601301802576,0.0,0.038461538461538464,0.03120097245722419,33535.56558041518,20966.94120615837,78
0.5,B1_IsolationForest,0.01,5053.038461538462,0.7692307692307693,4.59912947231232,0.7423023198141773,19.82051282051282,56.93589743589744,0.10828339121277306,0.3333333333333333,0.0,0.09340659340659342,8.923076923076923,270.601301802576,0.0,0.038461538461538464,0.03458264054560688,32573.356069995,20966.94120615837,78
0.5,B1_IsolationForest,0.02,5053.038461538462,0.7692307692307693,4.59912947231232,0.7423023198141773,19.82051282051282,56.93589743589744,0.12435951631894661,0.41025641025641024,0.029296875,0.12260044642857143,7.75,217.51614354767835,0.01282051282051282,0.0641025641025641,0.04630189654441779,32123.914389716963,26317.410167385155,78
0.5,B1_IsolationForest,0.05,5053.038461538462,0.7692307692307693,4.59912947231232,0.7423023198141773,19.82051282051282,56.93589743589744,0.2025656391033334,0.6410256410256411,0.01875,0.06841577540106952,9.34,232.52856365616728,0.01282051282051282,0.038461538461538464,0.08082351525375074,30200.802246231033,25416.664960875816,78
0.5,B1_IsolationForest,0.1,5053.038461538462,0.7692307692307693,4.59912947231232,0.7423023198141773,19.82051282051282,56.93589743589744,0.28292021166291614,0.7948717948717948,0.051367932708983696,0.09419281015185775,9.830645161290322,182.2098328952262,0.038461538461538464,0.0641025641025641,0.13159290046923738,29471.421905473522,26517.85221781407,78
0.5,B2_observed_only_twin,0.005,5053.038461538462,0.7692307692307693,4.59912947231232,39.987745614480566,19.82051282051282,56.93589743589744,0.21794848370322598,0.5,0.25259138025095473,0.6000402276998021,5.230769230769231,190.0796412912823,0.1282051282051282,0.3076923076923077,0.013704222238810994,31204.6283069266,27274.387978446113,78
0.5,B2_observed_only_twin,0.01,5053.038461538462,0.7692307692307693,4.59912947231232,39.987745614480566,19.82051282051282,56.93589743589744,0.2228722543056417,0.5128205128205128,0.24627659574468086,0.6123119492800344,5.125,200.88167691728535,0.1282051282051282,0.32051282051282054,0.015290018186598645,30824.493280156992,27353.27491739332,78
0.5,B2_observed_only_twin,0.02,5053.038461538462,0.7692307692307693,4.59912947231232,39.987745614480566,19.82051282051282,56.93589743589744,0.2649257651421187,0.6666666666666666,0.21932234432234432,0.561524311601711,5.759615384615385,227.55753730934526,0.15384615384615385,0.3974358974358974,0.02459024557138496,30523.185781703407,25752.723293869723,78
0.5,B2_observed_only_twin,0.05,5053.038461538462,0.7692307692307693,4.59912947231232,39.987745614480566,19.82051282051282,56.93589743589744,0.3288983548005612,0.7948717948717948,0.19692650385086427,0.5283436756123879,6.080645161290323,215.06450275121097,0.16666666666666666,0.4358974358974359,0.06392393111132813,30534.874411826622,26008.85612433008,78
0.5,B2_observed_only_twin,0.1,5053.038461538462,0.7692307692307693,4.59912947231232,39.987745614480566,19.82051282051282,56.93589743589744,0.3842420591419111,0.9102564102564102,0.16741700960237987,0.4629215102615446,7.26056338028169,219.06216161676758,0.16666666666666666,0.44871794871794873,0.12791042625151652,30586.11671133653,25768.996592396685,78
0.5,B3_TurningPoint,0.005,5053.038461538462,0.7692307692307693,4.59912947231232,0.40563520887847676,19.82051282051282,56.93589743589744,0.15778970696105635,0.44871794871794873,0.04857142857142857,0.3038905775075988,5.514285714285714,237.85207264014036,0.02564102564102564,0.14102564102564102,0.0097494179261667,31777.062002499762,25723.62291736278,78
0.5,B3_TurningPoint,0.01,5053.038461538462,0.7692307692307693,4.59912947231232,0.40563520887847676,19.82051282051282,56.93589743589744,0.1833074053720837,0.5384615384615384,0.04511278195488722,0.2578787394016957,7.857142857142857,266.20978209882463,0.02564102564102564,0.14102564102564102,0.01634640389981351,30952.34010618632,24022.160349841724,78
0.5,B3_TurningPoint,0.02,5053.038461538462,0.7692307692307693,4.59912947231232,0.40563520887847676,19.82051282051282,56.93589743589744,0.19554442252244053,0.6153846153846154,0.06013257575757575,0.24589646464646464,8.479166666666666,272.8747333851111,0.038461538461538464,0.15384615384615385,0.024413185196245437,32251.827758291747,23622.263272664535,78
0.5,B3_TurningPoint,0.05,5053.038461538462,0.7692307692307693,4.59912947231232,0.40563520887847676,19.82051282051282,56.93589743589744,0.22032791895970122,0.7051282051282052,0.07114219114219114,0.2581984681984682,8.527272727272727,272.8747333851111,0.05128205128205128,0.1794871794871795,0.05444949954332164,31499.737197300623,23622.263272664535,78
0.5,B3_TurningPoint,0.1,5053.038461538462,0.7692307692307693,4.59912947231232,0.40563520887847676,19.82051282051282,56.93589743589744,0.26112889779963605,0.8205128205128205,0.09470732368006304,0.255644823680063,7.6875,272.8747333851111,0.08974358974358974,0.21794871794871795,0.09021816437918934,30296.976767580345,23622.263272664535,78
0.5,RippleTwin,0.005,5053.038461538462,0.7692307692307693,4.59912947231232,39.99294167411538,19.82051282051282,56.93589743589744,0.21913907050163559,0.5,0.5578645164625093,0.6042108879812986,4.935897435897436,179.52506932129415,0.2948717948717949,0.3076923076923077,0.014178513464437078,31089.373992947916,28382.3903358221,78
0.5,RippleTwin,0.01,5053.038461538462,0.7692307692307693,4.59912947231232,39.99294167411538,19.82051282051282,56.93589743589744,0.22408084968318973,0.5384615384615384,0.5412241071026944,0.5848624912207298,5.035714285714286,183.08572279018534,0.3076923076923077,0.32051282051282054,0.01556832333906487,30641.211384833274,28168.75112768863,78
0.5,RippleTwin,0.02,5053.038461538462,0.7692307692307693,4.59912947231232,39.99294167411538,19.82051282051282,56.93589743589744,0.26121088199279774,0.6666666666666666,0.496432414028078,0.5250752227785609,5.6826923076923075,206.58728902875018,0.34615384615384615,0.358974358974359,0.025950634937972235,30494.93265589524,26758.657153374737,78
0.5,RippleTwin,0.05,5053.038461538462,0.7692307692307693,4.59912947231232,39.99294167411538,19.82051282051282,56.93589743589744,0.30996315112468376,0.7948717948717948,0.46763909668868964,0.5027759421317304,5.967741935483871,189.4202476415279,0.41025641025641024,0.41025641025641024,0.056386121066135025,30805.72382363605,27363.024055431135,78
0.5,RippleTwin,0.1,5053.038461538462,0.7692307692307693,4.59912947231232,39.99294167411538,19.82051282051282,56.93589743589744,0.36155531229153487,0.8974358974358975,0.4091040142603206,0.4364094151166319,6.892857142857143,200.7706064246427,0.41025641025641024,0.41025641025641024,0.11970730163610856,30278.119408168306,26682.00252844425,78
0.75,B0_SPC_observed,0.005,5053.038461538462,0.5897435897435898,4.59912947231232,5.061702559429017,19.82051282051282,56.93589743589744,0.18677693140520393,0.4230769230769231,0.6623989898989899,0.6623989898989899,6.015151515151516,180.55317612899682,0.28205128205128205,0.28205128205128205,0.01887505498544919,32834.91266600161,26120.7917755588,78
0.75,B0_SPC_observed,0.01,5053.038461538462,0.5897435897435898,4.59912947231232,5.061702559429017,19.82051282051282,56.93589743589744,0.1907936454773191,0.47435897435897434,0.5898960498960499,0.5898960498960499,7.351351351351352,180.55317612899682,0.28205128205128205,0.28205128205128205,0.02000965154617838,33362.59099919136,26120.7917755588,78
0.75,B0_SPC_observed,0.02,5053.038461538462,0.5897435897435898,4.59912947231232,5.061702559429017,19.82051282051282,56.93589743589744,0.1935925832611625,0.5,0.5588908226012298,0.5588908226012298,7.333333333333333,180.55317612899682,0.28205128205128205,0.28205128205128205,0.021639854593168365,33596.31825600507,26120.7917755588,78
0.75,B0_SPC_observed,0.05,5053.038461538462,0.5897435897435898,4.59912947231232,5.061702559429017,19.82051282051282,56.93589743589744,0.20341416194302522,0.6410256410256411,0.4316163204701688,0.4516163204701688,8.57,180.55317612899682,0.28205128205128205,0.2948717948717949,0.03228429670643087,34700.62294930298,26120.7917755588,78
0.75,B0_SPC_observed,0.1,5053.038461538462,0.5897435897435898,4.59912947231232,5.061702559429017,19.82051282051282,56.93589743589744,0.21991653044683807,0.7692307692307693,0.35248498100659886,0.3611655365621544,8.8,180.55317612899682,0.28205128205128205,0.28205128205128205,0.05138852400594556,34141.16282588642,26120.7917755588,78
0.75,B1_IsolationForest,0.005,5053.038461538462,0.5897435897435898,4.59912947231232,0.7423023198141773,19.82051282051282,56.93589743589744,0.1304514366180374,0.3974358974358974,0.0,0.14695340501792115,7.241935483870968,305.81727328331823,0.0,0.0641025641025641,0.04032563521115491,30956.193811259647,23616.93521473424,78
