coverage,method,fault_kind,seed,source_hidden,magnitude,threshold,true_station,n_windows_during,detection_rate,detected_episode,top1,within1,median_station_error,top1_episode,within1_episode,lead_time_min,first_alert_t_s,first_correct_alert_t_s,n_episodes
0.5,B1_IsolationForest,COMBINED,5059.6875,0.6875,1.2556019473226767,0.7423023198141773,17.6875,58.5,0.13447768833898555,0.4375,0.0,0.0,10.714285714285714,0.0,0.0,,34992.209378612104,,16
0.5,B1_IsolationForest,MICROSTOP_BURST,5064.125,0.75,8.500896383126522,0.7423023198141773,17.875,57.5,0.015681818181818182,0.25,0.0,0.0,14.0,0.0,0.0,,34808.56664585502,,8
0.5,B1_IsolationForest,QUALITY_DRIFT,5044.772727272727,0.8636363636363636,10.409278832833635,0.7423023198141773,21.363636363636363,59.13636363636363,0.0,0.0,,,,0.0,0.0,,,,22
0.5,B1_IsolationForest,SLOWDOWN,5052.625,0.75,1.3009738217451883,0.7423023198141773,20.3125,54.5,0.19278146736618698,0.53125,0.0,0.14285714285714288,7.588235294117647,0.0,0.09375,270.601301802576,31314.391698698546,20966.94120615837,32
0.5,B2_observed_only_twin,COMBINED,5059.6875,0.6875,1.2556019473226767,39.987745614480566,17.6875,58.5,0.27730046653283735,0.5625,0.4444444444444444,0.8888888888888888,2.2222222222222223,0.25,0.5,176.46500887614187,31653.463152176526,33119.32787137812,16
0.5,B2_observed_only_twin,MICROSTOP_BURST,5064.125,0.75,8.500896383126522,39.987745614480566,17.875,57.5,0.016656394453004625,0.375,0.0,0.3333333333333333,9.0,0.0,0.125,,29431.935108441117,,8
0.5,B2_observed_only_twin,QUALITY_DRIFT,5044.772727272727,0.8636363636363636,10.409278832833635,39.987745614480566,21.363636363636363,59.13636363636363,0.012252036421304931,0.22727272727272727,0.0,0.0,21.4,0.0,0.0,,38336.076539525195,,22
0.5,B2_observed_only_twin,SLOWDOWN,5052.625,0.75,1.3009738217451883,39.987745614480566,20.3125,54.5,0.3920135129506847,0.71875,0.2543940795559667,0.6735859987478859,2.217391304347826,0.1875,0.5,207.85786778618348,29048.798904945284,25705.831216254803,32
0.5,B3_TurningPoint,COMBINED,5059.6875,0.6875,1.2556019473226767,0.40563520887847676,17.6875,58.5,0.16533507851934487,0.5625,0.0,0.3333333333333333,4.666666666666667,0.0,0.1875,,32556.205473811824,,16
0.5,B3_TurningPoint,MICROSTOP_BURST,5064.125,0.75,8.500896383126522,0.40563520887847676,17.875,57.5,0.02043421503167266,0.375,0.0,0.0,14.666666666666666,0.0,0.0,,33219.994058937016,,8
0.5,B3_TurningPoint,QUALITY_DRIFT,5044.772727272727,0.8636363636363636,10.409278832833635,0.4056352088784767,21.363636363636363,59.13636363636363,0.010415323223489634,0.3181818181818182,0.0,0.0,17.142857142857142,0.0,0.0,,35604.22450583157,,22
0.5,B3_TurningPoint,SLOWDOWN,5052.625,0.75,1.3009738217451883,0.40563520887847676,20.3125,54.5,0.3518751728607143,0.71875,0.08237986270022883,0.3404742197770096,5.391304347826087,0.0625,0.25,266.20978209882463,28613.168759908127,24022.160349841724,32
0.5,RippleTwin,COMBINED,5059.6875,0.6875,1.2556019473226767,39.99294167411538,17.6875,58.5,0.2797310220883929,0.5625,0.8888888888888888,0.8888888888888888,1.8333333333333333,0.5,0.5,178.99854944758746,31619.572293965262,32967.31543709138,16
0.5,RippleTwin,MICROSTOP_BURST,5064.125,0.75,8.500896383126522,39.99294167411538,17.875,57.5,0.016656394453004625,0.375,0.0,0.3333333333333333,9.0,0.0,0.125,,29431.935108441117,,8
0.5,RippleTwin,QUALITY_DRIFT,5044.772727272727,0.8636363636363636,10.409278832833635,39.99294167411538,21.363636363636363,59.13636363636363,0.01294074165546471,0.2727272727272727,0.0,0.0,21.166666666666668,0.0,0.0,,37119.80663814225,,22
0.5,RippleTwin,SLOWDOWN,5052.625,0.75,1.3009738217451883,39.99294167411538,20.3125,54.5,0.39327070155719535,0.75,0.6138088540963819,0.648509359636277,1.7083333333333333,0.5,0.5,184.10751612583482,28805.83676513056,26969.11005033794,32
0.75,B0_SPC_observed,COMBINED,5059.6875,0.5625,1.2556019473226767,5.061702559429017,17.6875,58.5,0.29495411575910746,0.625,0.7,0.7,6.3,0.4375,0.4375,111.34582703788304,34713.841073004136,37018.34808983871,16
0.75,B0_SPC_observed,MICROSTOP_BURST,5064.125,0.625,8.500896383126522,5.061702559429017,17.875,57.5,0.01588623301985371,0.375,0.3333333333333333,0.3333333333333333,11.0,0.125,0.125,,42417.85355118156,,8
