split,seed,coverage,method,fault_kind,source_hidden,magnitude,threshold,true_station,n_windows_during,detection_rate,detected_episode,top1,within1,median_station_error,top1_episode,within1_episode,lead_time_min,first_alert_t_s,first_correct_alert_t_s
tune,1003,0.75,RippleTwin,COMBINED,True,1.3731549871195838,31.30364205825687,7,40,0.925,1.0,0.9459459459459459,1.0,0.0,1.0,1.0,,33718.59278822146,
tune,1003,0.75,B2_observed_only_twin,COMBINED,True,1.3731549871195838,31.30364205825687,7,40,0.925,1.0,0.0,1.0,1.0,0.0,1.0,,33718.59278822146,
tune,1003,0.75,B0_SPC_observed,COMBINED,True,1.3731549871195838,5.061702559429017,7,40,0.0,0.0,,,,0.0,0.0,,,
tune,1003,0.75,B3_TurningPoint,COMBINED,True,1.3731549871195838,0.41240313011539886,7,40,0.875,1.0,0.0,1.0,1.0,0.0,1.0,,34314.52837620312,
tune,1003,0.75,B1_IsolationForest,COMBINED,True,1.3731549871195838,0.7423023198141773,7,40,0.25,1.0,0.0,0.0,7.0,0.0,0.0,,37419.870051370744,
tune,1003,0.5,RippleTwin,COMBINED,True,1.3731549871195838,39.99294167411538,7,40,0.9,1.0,0.8888888888888888,1.0,0.0,1.0,1.0,,33718.59278822146,
tune,1003,0.5,B2_observed_only_twin,COMBINED,True,1.3731549871195838,39.987745614480566,7,40,0.9,1.0,0.0,1.0,1.0,0.0,1.0,,33718.59278822146,
tune,1003,0.5,B0_SPC_observed,COMBINED,True,1.3731549871195838,5.012127239822025,7,40,0.0,0.0,,,,0.0,0.0,,,
tune,1003,0.5,B3_TurningPoint,COMBINED,True,1.3731549871195838,0.40563520887847676,7,40,0.875,1.0,0.0,1.0,1.0,0.0,1.0,,34314.52837620312,
tune,1003,0.5,B1_IsolationForest,COMBINED,True,1.3731549871195838,0.7423023198141773,7,40,0.025,1.0,0.0,0.0,6.0,0.0,0.0,,46296.742209086144,
tune,1003,0.25,RippleTwin,COMBINED,True,1.3731549871195838,23.87887940963418,7,40,0.85,1.0,0.7352941176470589,0.8529411764705882,0.0,1.0,1.0,,33718.59278822146,
tune,1003,0.25,B2_observed_only_twin,COMBINED,True,1.3731549871195838,23.87066583332845,7,40,0.925,1.0,0.0,1.0,1.0,0.0,1.0,,33718.59278822146,
tune,1003,0.25,B0_SPC_observed,COMBINED,True,1.3731549871195838,4.674774997918179,7,40,0.0,0.0,,,,0.0,0.0,,,
tune,1003,0.25,B3_TurningPoint,COMBINED,True,1.3731549871195838,0.39660743155955724,7,40,0.875,1.0,0.0,0.0,3.0,0.0,0.0,,34314.52837620312,
tune,1003,0.25,B1_IsolationForest,COMBINED,True,1.3731549871195838,0.7158774793615637,7,40,0.425,1.0,0.0,0.0,6.0,0.0,0.0,,33439.46004848935,
tune,1004,1.0,RippleTwin,QUALITY_DRIFT,False,12.206738048579876,42.5638498837417,1,43,0.0,0.0,,,,0.0,0.0,,,
tune,1004,1.0,B2_observed_only_twin,QUALITY_DRIFT,False,12.206738048579876,42.5638498837417,1,43,0.0,0.0,,,,0.0,0.0,,,
tune,1004,1.0,B0_SPC_observed,QUALITY_DRIFT,False,12.206738048579876,5.124273832797681,1,43,0.0,0.0,,,,0.0,0.0,,,
tune,1004,1.0,B3_TurningPoint,QUALITY_DRIFT,False,12.206738048579876,0.4108436123761012,1,43,0.0,0.0,,,,0.0,0.0,,,
tune,1004,1.0,B1_IsolationForest,QUALITY_DRIFT,False,12.206738048579876,0.7784702529546166,1,43,0.0,0.0,,,,0.0,0.0,,,
tune,1004,0.75,RippleTwin,QUALITY_DRIFT,True,12.206738048579876,31.30364205825687,1,43,0.0,0.0,,,,0.0,0.0,,,
tune,1004,0.75,B2_observed_only_twin,QUALITY_DRIFT,True,12.206738048579876,31.30364205825687,1,43,0.0,0.0,,,,0.0,0.0,,,
tune,1004,0.75,B0_SPC_observed,QUALITY_DRIFT,True,12.206738048579876,5.061702559429017,1,43,0.0,0.0,,,,0.0,0.0,,,
tune,1004,0.75,B3_TurningPoint,QUALITY_DRIFT,True,12.206738048579876,0.41240313011539886,1,43,0.0,0.0,,,,0.0,0.0,,,
tune,1004,0.75,B1_IsolationForest,QUALITY_DRIFT,True,12.206738048579876,0.7423023198141773,1,43,0.0,0.0,,,,0.0,0.0,,,
tune,1004,0.5,RippleTwin,QUALITY_DRIFT,True,12.206738048579876,39.99294167411538,1,43,0.0,0.0,,,,0.0,0.0,,,
tune,1004,0.5,B2_observed_only_twin,QUALITY_DRIFT,True,12.206738048579876,39.987745614480566,1,43,0.0,0.0,,,,0.0,0.0,,,
tune,1004,0.5,B0_SPC_observed,QUALITY_DRIFT,True,12.206738048579876,5.012127239822025,1,43,0.0,0.0,,,,0.0,0.0,,,
tune,1004,0.5,B3_TurningPoint,QUALITY_DRIFT,True,12.206738048579876,0.40563520887847676,1,43,0.0,0.0,,,,0.0,0.0,,,
tune,1004,0.5,B1_IsolationForest,QUALITY_DRIFT,True,12.206738048579876,0.7423023198141773,1,43,0.0,0.0,,,,0.0,0.0,,,
tune,1004,0.25,RippleTwin,QUALITY_DRIFT,True,12.206738048579876,23.87887940963418,1,43,0.0,0.0,,,,0.0,0.0,,,
tune,1004,0.25,B2_observed_only_twin,QUALITY_DRIFT,True,12.206738048579876,23.87066583332845,1,43,0.0,0.0,,,,0.0,0.0,,,
tune,1004,0.25,B0_SPC_observed,QUALITY_DRIFT,True,12.206738048579876,4.674774997918179,1,43,0.0,0.0,,,,0.0,0.0,,,
tune,1004,0.25,B3_TurningPoint,QUALITY_DRIFT,True,12.206738048579876,0.39660743155955724,1,43,0.0,0.0,,,,0.0,0.0,,,
tune,1004,0.25,B1_IsolationForest,QUALITY_DRIFT,True,12.206738048579876,0.7158774793615637,1,43,0.0,0.0,,,,0.0,0.0,,,
tune,1005,1.0,RippleTwin,QUALITY_DRIFT,False,14.347927245440864,42.5638498837417,16,40,0.0,0.0,,,,0.0,0.0,,,
tune,1005,1.0,B2_observed_only_twin,QUALITY_DRIFT,False,14.347927245440864,42.5638498837417,16,40,0.0,0.0,,,,0.0,0.0,,,
tune,1005,1.0,B0_SPC_observed,QUALITY_DRIFT,False,14.347927245440864,5.124273832797681,16,40,0.0,0.0,,,,0.0,0.0,,,
tune,1005,1.0,B3_TurningPoint,QUALITY_DRIFT,False,14.347927245440864,0.4108436123761012,16,40,0.0,0.0,,,,0.0,0.0,,,
tune,1005,1.0,B1_IsolationForest,QUALITY_DRIFT,False,14.347927245440864,0.7784702529546166,16,40,0.0,0.0,,,,0.0,0.0,,,
tune,1005,0.75,RippleTwin,QUALITY_DRIFT,False,14.347927245440864,31.30364205825687,16,40,0.0,0.0,,,,0.0,0.0,,,
tune,1005,0.75,B2_observed_only_twin,QUALITY_DRIFT,False,14.347927245440864,31.30364205825687,16,40,0.0,0.0,,,,0.0,0.0,,,
tune,1005,0.75,B0_SPC_observed,QUALITY_DRIFT,False,14.347927245440864,5.061702559429017,16,40,0.0,0.0,,,,0.0,0.0,,,
tune,1005,0.75,B3_TurningPoint,QUALITY_DRIFT,False,14.347927245440864,0.41240313011539886,16,40,0.0,0.0,,,,0.0,0.0,,,
